InvoiceNo,Recency,Frequency,Monetary,Cluster,Segment
543654,302,-57,0.0,0,Low-Value Guests
543655,302,-42,0.0,0,Low-Value Guests
543656,302,-44,0.0,0,Low-Value Guests
543660,302,307,1239.43,0,Low-Value Guests
543713,302,490,2053.0,0,Low-Value Guests
543732,302,136,951.01,0,Low-Value Guests
543751,301,2,11.2,0,Low-Value Guests
543753,301,6,7.5,0,Low-Value Guests
543762,301,3,6.550000000000001,0,Low-Value Guests
543781,301,19,0.0,0,Low-Value Guests
543782,301,6,0.0,0,Low-Value Guests
543783,301,-41,0.0,0,Low-Value Guests
543796,301,1,4.95,0,Low-Value Guests
543826,299,325,1434.66,0,Low-Value Guests
543827,299,-64,0.0,0,Low-Value Guests
543899,299,563,1096.14,0,Low-Value Guests
543909,299,337,1101.82,0,Low-Value Guests
543916,298,25,47.75,0,Low-Value Guests
543920,298,1,8.5,0,Low-Value Guests
543922,298,1,10.65,0,Low-Value Guests
543985,298,213,873.79,0,Low-Value Guests
544046,298,-140,0.0,0,Low-Value Guests
544063,297,-9,0.0,0,Low-Value Guests
544072,297,26,0.0,0,Low-Value Guests
544082,297,3,2.09,0,Low-Value Guests
544085,297,1,5.45,0,Low-Value Guests
544086,297,-7,0.0,0,Low-Value Guests
544088,297,2,14.2,0,Low-Value Guests
544089,297,368,1195.56,0,Low-Value Guests
544186,296,388,1449.88,0,Low-Value Guests
544201,296,95,680.82,0,Low-Value Guests
544202,296,80,565.54,0,Low-Value Guests
544204,296,60,422.03,0,Low-Value Guests
544205,296,102,746.49,0,Low-Value Guests
544206,296,105,627.56,0,Low-Value Guests
544207,296,98,634.67,0,Low-Value Guests
544208,296,64,480.0,0,Low-Value Guests
544214,296,718,3055.62,2,Recent High-Spenders
544321,295,120,0.0,0,Low-Value Guests
544323,295,332,1429.07,0,Low-Value Guests
544324,295,4,15.9,0,Low-Value Guests
544325,295,1,2.95,0,Low-Value Guests
544326,295,3,20.75,0,Low-Value Guests
544333,295,4,16.48,0,Low-Value Guests
544342,295,-53,0.0,0,Low-Value Guests
544343,295,-99,0.0,0,Low-Value Guests
544344,295,51,0.0,0,Low-Value Guests
544345,295,1,0.0,0,Low-Value Guests
544346,295,-21,0.0,0,Low-Value Guests
544347,295,-4,0.0,0,Low-Value Guests
544348,295,13,0.0,0,Low-Value Guests
544396,295,-92,0.0,0,Low-Value Guests
544410,294,-741,0.0,0,Low-Value Guests
544418,294,6,5.58,0,Low-Value Guests
544431,294,2,3.2,0,Low-Value Guests
544434,294,530,1736.06,0,Low-Value Guests
544438,294,1,0.85,0,Low-Value Guests
544468,292,422,910.78,0,Low-Value Guests
544469,292,50,100.30000000000001,0,Low-Value Guests
544554,292,-41,0.0,0,Low-Value Guests
544579,291,-6,0.0,0,Low-Value Guests
544595,291,3,14.850000000000001,0,Low-Value Guests
544598,291,264,981.51,0,Low-Value Guests
544599,291,418,1579.58,0,Low-Value Guests
544649,291,-400,0.0,0,Low-Value Guests
544681,290,402,1537.91,0,Low-Value Guests
544684,290,570,1799.96,0,Low-Value Guests
544703,290,-114,0.0,0,Low-Value Guests
544766,290,81,542.09,0,Low-Value Guests
544767,290,58,370.82,0,Low-Value Guests
544768,290,66,490.59999999999997,0,Low-Value Guests
544770,290,59,464.91999999999996,0,Low-Value Guests
544771,290,92,598.96,0,Low-Value Guests
544772,290,73,559.72,0,Low-Value Guests
544773,290,1,4.65,0,Low-Value Guests
544776,290,628,2695.09,2,Recent High-Spenders
544812,289,544,1806.73,0,Low-Value Guests
544820,289,1,9.95,0,Low-Value Guests
544832,289,-88,0.0,0,Low-Value Guests
544834,289,-33,0.0,0,Low-Value Guests
544927,288,1,0.85,0,Low-Value Guests
544928,288,332,1336.1,0,Low-Value Guests
544938,288,118,186.95,0,Low-Value Guests
545024,287,42,304.73,0,Low-Value Guests
545025,287,80,545.87,0,Low-Value Guests
545027,287,294,1180.5,0,Low-Value Guests
545078,285,186,899.96,0,Low-Value Guests
545127,285,-50,0.0,0,Low-Value Guests
545135,285,-30,0.0,0,Low-Value Guests
545160,284,5,48.0,0,Low-Value Guests
545176,284,88,764.12,0,Low-Value Guests
545215,284,573,1995.37,0,Low-Value Guests
545216,284,369,1520.38,0,Low-Value Guests
545217,284,356,1420.78,0,Low-Value Guests
545219,284,-36,0.0,0,Low-Value Guests
545230,284,12,55.36,0,Low-Value Guests
545236,284,-15,0.0,0,Low-Value Guests
545299,284,1,4.95,0,Low-Value Guests
545315,283,34,231.06,0,Low-Value Guests
545316,283,18,116.78999999999999,0,Low-Value Guests
545317,283,77,580.41,0,Low-Value Guests
545333,283,429,1734.52,0,Low-Value Guests
545401,283,-5,0.0,0,Low-Value Guests
545402,283,-33,0.0,0,Low-Value Guests
545424,282,4,3.8,0,Low-Value Guests
545464,282,434,1749.57,0,Low-Value Guests
545546,281,-150,0.0,0,Low-Value Guests
545547,281,-391,0.0,0,Low-Value Guests
545548,281,-87,0.0,0,Low-Value Guests
545549,281,-61,0.0,0,Low-Value Guests
545551,281,20,0.0,0,Low-Value Guests
545552,281,-20,0.0,0,Low-Value Guests
545553,281,16,0.0,0,Low-Value Guests
545554,281,-70,0.0,0,Low-Value Guests
545560,281,-2,0.0,0,Low-Value Guests
545561,281,-9,0.0,0,Low-Value Guests
545562,281,-5,0.0,0,Low-Value Guests
545563,281,-22,0.0,0,Low-Value Guests
545564,281,-9,0.0,0,Low-Value Guests
545565,281,-10,0.0,0,Low-Value Guests
545566,281,-9,0.0,0,Low-Value Guests
545567,281,-3,0.0,0,Low-Value Guests
545568,281,522,1799.3799999999999,0,Low-Value Guests
545581,281,232,733.78,0,Low-Value Guests
545584,281,1,7.95,0,Low-Value Guests
545586,281,43,44.85,0,Low-Value Guests
545598,281,-278,0.0,0,Low-Value Guests
545599,281,-140,0.0,0,Low-Value Guests
545600,281,-21,0.0,0,Low-Value Guests
545651,280,140,0.0,0,Low-Value Guests
545666,280,67,0.0,0,Low-Value Guests
545667,280,354,1397.75,0,Low-Value Guests
545703,278,1,7.95,0,Low-Value Guests
545713,278,1365,5307.65,2,Recent High-Spenders
545714,278,76,504.46000000000004,0,Low-Value Guests
545715,278,118,786.23,0,Low-Value Guests
545716,278,132,912.6899999999999,0,Low-Value Guests
545717,278,79,638.9399999999999,0,Low-Value Guests
545827,277,9,24.45,0,Low-Value Guests
545832,277,2,17.9,0,Low-Value Guests
545857,277,-154,0.0,0,Low-Value Guests
545858,277,6,24.0,0,Low-Value Guests
545875,277,34,0.0,0,Low-Value Guests
545895,277,554,2092.33,0,Low-Value Guests
545897,277,577,1762.22,0,Low-Value Guests
545990,276,-3000,0.0,0,Low-Value Guests
546002,276,1,2.55,0,Low-Value Guests
546004,276,1,2.55,0,Low-Value Guests
546007,276,302,1273.26,0,Low-Value Guests
546008,276,422,1572.65,0,Low-Value Guests
546010,276,-19,0.0,0,Low-Value Guests
546016,276,-675,0.0,0,Low-Value Guests
546018,276,-600,0.0,0,Low-Value Guests
546020,276,-210,0.0,0,Low-Value Guests
546021,276,-345,0.0,0,Low-Value Guests
546023,276,-975,0.0,0,Low-Value Guests
546024,276,-1200,0.0,0,Low-Value Guests
546025,276,-600,0.0,0,Low-Value Guests
546026,276,4,0.0,0,Low-Value Guests
546085,276,144,0.0,0,Low-Value Guests
546109,276,2,33.9,0,Low-Value Guests
546114,275,47,0.0,0,Low-Value Guests
546124,275,-1121,0.0,0,Low-Value Guests
546126,275,-27,0.0,0,Low-Value Guests
546129,275,-541,0.0,0,Low-Value Guests
546130,275,-1277,0.0,0,Low-Value Guests
546136,275,402,1659.07,0,Low-Value Guests
546137,275,-197,0.0,0,Low-Value Guests
546138,275,-300,0.0,0,Low-Value Guests
546139,275,3000,0.0,2,Recent High-Spenders
546140,275,-30,0.0,0,Low-Value Guests
546141,275,73,0.0,0,Low-Value Guests
546142,275,-1100,0.0,0,Low-Value Guests
546145,275,-80,0.0,0,Low-Value Guests
546146,275,-40,0.0,0,Low-Value Guests
546147,275,-63,0.0,0,Low-Value Guests
546148,275,-100,0.0,0,Low-Value Guests
546149,275,-230,0.0,0,Low-Value Guests
546150,275,-140,0.0,0,Low-Value Guests
546151,275,-80,0.0,0,Low-Value Guests
546152,275,-5368,0.0,0,Low-Value Guests
546240,274,20,0.0,0,Low-Value Guests
546244,274,219,0.0,0,Low-Value Guests
546245,274,-259,0.0,0,Low-Value Guests
546293,274,12,67.8,0,Low-Value Guests
546303,274,1,8.62,0,Low-Value Guests
546306,274,345,1587.23,0,Low-Value Guests
546307,274,280,0.0,0,Low-Value Guests
546308,274,232,0.0,0,Low-Value Guests
546309,274,180,0.0,0,Low-Value Guests
546311,274,2,7.9,0,Low-Value Guests
546312,274,1,16.95,0,Low-Value Guests
546364,274,126,190.52,0,Low-Value Guests
546368,274,144,280.67,0,Low-Value Guests
546375,274,48,0.0,0,Low-Value Guests
546379,274,-82,0.0,0,Low-Value Guests
546388,273,623,2676.13,2,Recent High-Spenders
546393,273,1,1.95,0,Low-Value Guests
546406,273,508,1429.9099999999999,0,Low-Value Guests
546407,273,-178,0.0,0,Low-Value Guests
546408,273,170,0.0,0,Low-Value Guests
546409,273,-110,0.0,0,Low-Value Guests
546444,271,7,7.35,0,Low-Value Guests
546539,270,1,2.95,0,Low-Value Guests
546551,270,-10,0.0,0,Low-Value Guests
546558,270,1,2583.76,0,Low-Value Guests
546648,269,405,1794.43,0,Low-Value Guests
546649,269,77,507.29999999999995,0,Low-Value Guests
546650,269,58,431.36,0,Low-Value Guests
546651,269,65,440.90999999999997,0,Low-Value Guests
546652,269,119,664.84,0,Low-Value Guests
546653,269,77,549.52,0,Low-Value Guests
546654,269,70,503.63,0,Low-Value Guests
546655,269,53,411.24,0,Low-Value Guests
546656,269,95,662.9499999999999,0,Low-Value Guests
546661,269,-25,0.0,0,Low-Value Guests
546663,269,3,7.12,0,Low-Value Guests
546666,269,72,0.0,0,Low-Value Guests
546672,269,-77,0.0,0,Low-Value Guests
546673,269,48,0.0,0,Low-Value Guests
546756,268,-5,0.0,0,Low-Value Guests
546763,268,37,112.85,0,Low-Value Guests
546779,268,3,14.850000000000001,0,Low-Value Guests
546876,267,2,0.84,0,Low-Value Guests
546884,267,372,1546.93,0,Low-Value Guests
546888,267,290,1273.8899999999999,0,Low-Value Guests
546891,267,385,1464.43,0,Low-Value Guests
546892,267,274,1191.71,0,Low-Value Guests
546896,267,627,2398.2,0,Low-Value Guests
546933,267,71,498.79,0,Low-Value Guests
546949,267,22,43.25,0,Low-Value Guests
546957,267,10,51.45,0,Low-Value Guests
546972,267,367,1750.62,0,Low-Value Guests
546973,267,61,461.52,0,Low-Value Guests
546974,267,58,404.64,0,Low-Value Guests
546976,267,80,651.1800000000001,0,Low-Value Guests
546977,267,119,895.2,0,Low-Value Guests
547006,266,3,10.15,0,Low-Value Guests
547007,266,1,1.25,0,Low-Value Guests
547009,266,1,1.25,0,Low-Value Guests
547025,266,1,3.75,0,Low-Value Guests
547042,265,461,1880.11,0,Low-Value Guests
547082,264,5,27.65,0,Low-Value Guests
547089,264,99,160.93,0,Low-Value Guests
547219,263,595,431.6,0,Low-Value Guests
547224,263,239,180.9,0,Low-Value Guests
547225,263,3,7.6499999999999995,0,Low-Value Guests
547238,263,16,35.92,0,Low-Value Guests
547239,263,2,8.4,0,Low-Value Guests
547248,263,553,1891.3899999999999,0,Low-Value Guests
547249,263,437,1656.3,0,Low-Value Guests
547250,263,559,1940.1299999999999,0,Low-Value Guests
547328,263,45,0.0,0,Low-Value Guests
547329,263,-1,0.0,0,Low-Value Guests
547330,263,-40,0.0,0,Low-Value Guests
547331,263,-20,0.0,0,Low-Value Guests
547332,263,-47,0.0,0,Low-Value Guests
547333,263,-70,0.0,0,Low-Value Guests
547335,263,-15,0.0,0,Low-Value Guests
547336,263,-323,0.0,0,Low-Value Guests
547337,263,-230,0.0,0,Low-Value Guests
547338,263,-110,0.0,0,Low-Value Guests
547339,263,-450,0.0,0,Low-Value Guests
547341,263,-20,0.0,0,Low-Value Guests
547343,263,4,0.0,0,Low-Value Guests
547344,263,5,0.0,0,Low-Value Guests
547345,263,-10,0.0,0,Low-Value Guests
547346,263,-41,0.0,0,Low-Value Guests
547347,263,-6,0.0,0,Low-Value Guests
547348,263,4,0.0,0,Low-Value Guests
547363,263,-232,0.0,0,Low-Value Guests
547364,263,16,29.1,0,Low-Value Guests
547369,262,-83,0.0,0,Low-Value Guests
547385,262,309,1194.37,0,Low-Value Guests
547386,262,369,1504.91,0,Low-Value Guests
547393,262,15,14.25,0,Low-Value Guests
547394,262,1,0.0,0,Low-Value Guests
547395,262,1,0.0,0,Low-Value Guests
547396,262,473,2162.2599999999998,0,Low-Value Guests
547397,262,112,500.95,0,Low-Value Guests
547398,262,75,540.52,0,Low-Value Guests
547399,262,84,567.6899999999999,0,Low-Value Guests
547400,262,63,449.42,0,Low-Value Guests
547402,262,12,0.0,0,Low-Value Guests
547403,262,-2,0.0,0,Low-Value Guests
547404,262,24,0.0,0,Low-Value Guests
547411,262,2,33.9,0,Low-Value Guests
547487,262,-153,0.0,0,Low-Value Guests
547505,261,-9,0.0,0,Low-Value Guests
547506,261,-2,0.0,0,Low-Value Guests
547522,261,5,0.0,0,Low-Value Guests
547523,261,5,0.0,0,Low-Value Guests
547524,261,4,0.0,0,Low-Value Guests
547525,261,3,0.0,0,Low-Value Guests
547526,261,3,0.0,0,Low-Value Guests
547527,261,2,0.0,0,Low-Value Guests
547528,261,2,0.0,0,Low-Value Guests
547529,261,1,0.0,0,Low-Value Guests
547530,261,3,0.0,0,Low-Value Guests
547531,261,1,0.0,0,Low-Value Guests
547532,261,1,0.0,0,Low-Value Guests
547533,261,2,0.0,0,Low-Value Guests
547534,261,1,0.0,0,Low-Value Guests
547536,261,1,0.0,0,Low-Value Guests
547547,261,277,1254.42,0,Low-Value Guests
547551,261,69,501.09000000000003,0,Low-Value Guests
547552,261,108,723.46,0,Low-Value Guests
547557,261,2,0.0,0,Low-Value Guests
547559,261,-524,0.0,0,Low-Value Guests
547560,261,-2472,0.0,0,Low-Value Guests
547575,261,144,0.0,0,Low-Value Guests
547593,261,-2,0.0,0,Low-Value Guests
547595,261,-12,0.0,0,Low-Value Guests
547596,261,-5,0.0,0,Low-Value Guests
547597,261,-18,0.0,0,Low-Value Guests
547598,261,-25,0.0,0,Low-Value Guests
547599,261,-10,0.0,0,Low-Value Guests
547606,261,-22,0.0,0,Low-Value Guests
547611,261,-9,0.0,0,Low-Value Guests
547618,261,-12,0.0,0,Low-Value Guests
547626,261,60,0.0,0,Low-Value Guests
547646,261,-80,0.0,0,Low-Value Guests
547673,260,13,0.0,0,Low-Value Guests
547696,260,12,0.0,0,Low-Value Guests
547699,260,-32,0.0,0,Low-Value Guests
547700,260,-105,0.0,0,Low-Value Guests
547701,260,-7,0.0,0,Low-Value Guests
547704,260,100,0.0,0,Low-Value Guests
547723,260,3,15.85,0,Low-Value Guests
547788,260,431,2526.98,0,Low-Value Guests
547810,259,17,35.17,0,Low-Value Guests
547813,259,1,0.0,0,Low-Value Guests
547827,259,82,0.0,0,Low-Value Guests
547830,259,307,1513.46,0,Low-Value Guests
547865,257,1,16.95,0,Low-Value Guests
547901,257,1,219.76,0,Low-Value Guests
547916,257,-36,0.0,0,Low-Value Guests
547917,257,6,0.0,0,Low-Value Guests
547927,256,5,0.0,0,Low-Value Guests
547928,256,1,0.0,0,Low-Value Guests
547929,256,3,0.0,0,Low-Value Guests
547932,256,24,0.0,0,Low-Value Guests
547933,256,1,0.0,0,Low-Value Guests
547943,256,1,0.0,0,Low-Value Guests
547948,256,167,0.0,0,Low-Value Guests
547950,256,-40,0.0,0,Low-Value Guests
547957,256,32,0.0,0,Low-Value Guests
547959,256,23,0.0,0,Low-Value Guests
547964,256,368,1460.08,0,Low-Value Guests
547966,256,1000,0.0,0,Low-Value Guests
547967,256,279,1491.72,0,Low-Value Guests
547989,256,-100,0.0,0,Low-Value Guests
547993,256,334,523.15,0,Low-Value Guests
547994,256,-7,0.0,0,Low-Value Guests
547995,256,-12,0.0,0,Low-Value Guests
547996,256,-10,0.0,0,Low-Value Guests
547997,256,-34,0.0,0,Low-Value Guests
547998,256,-2,0.0,0,Low-Value Guests
547999,256,-7,0.0,0,Low-Value Guests
548000,256,-7,0.0,0,Low-Value Guests
548001,256,11,0.0,0,Low-Value Guests
548002,256,-25,0.0,0,Low-Value Guests
548008,256,-80,0.0,0,Low-Value Guests
548069,256,-22,0.0,0,Low-Value Guests
548095,256,-3,0.0,0,Low-Value Guests
548098,256,-15,0.0,0,Low-Value Guests
548104,256,-3,0.0,0,Low-Value Guests
548110,256,-27,0.0,0,Low-Value Guests
548149,256,-2,0.0,0,Low-Value Guests
548161,255,2,0.0,0,Low-Value Guests
548162,255,989,4225.29,2,Recent High-Spenders
548163,255,129,873.05,0,Low-Value Guests
548164,255,85,638.23,0,Low-Value Guests
548165,255,92,577.9300000000001,0,Low-Value Guests
548166,255,91,668.51,0,Low-Value Guests
548167,255,96,767.77,0,Low-Value Guests
548168,255,65,489.28999999999996,0,Low-Value Guests
548173,255,-3,0.0,0,Low-Value Guests
548175,255,-2,0.0,0,Low-Value Guests
548191,255,357,1385.1299999999999,0,Low-Value Guests
548194,255,404,1536.03,0,Low-Value Guests
548195,255,27,0.0,0,Low-Value Guests
548203,255,5964,21627.72,2,Recent High-Spenders
548204,255,14,209.29999999999998,0,Low-Value Guests
548205,255,48,0.0,0,Low-Value Guests
548206,255,-53,0.0,0,Low-Value Guests
548207,255,25,0.0,0,Low-Value Guests
548209,255,-30,0.0,0,Low-Value Guests
548219,255,5,13.77,0,Low-Value Guests
548220,255,14,0.0,0,Low-Value Guests
548221,255,1,0.0,0,Low-Value Guests
548224,255,2,0.0,0,Low-Value Guests
548227,255,-19,0.0,0,Low-Value Guests
548261,255,2,0.0,0,Low-Value Guests
548269,255,-45,0.0,0,Low-Value Guests
548286,255,180,0.0,0,Low-Value Guests
548310,255,79,212.36,0,Low-Value Guests
548321,254,4,46.2,0,Low-Value Guests
548322,254,5,16.13,0,Low-Value Guests
548328,254,-21,0.0,0,Low-Value Guests
548339,254,-42,0.0,0,Low-Value Guests
548364,254,53,0.0,0,Low-Value Guests
548365,254,-7,0.0,0,Low-Value Guests
548366,254,-33,0.0,0,Low-Value Guests
548369,254,-6,0.0,0,Low-Value Guests
548373,254,452,1959.6499999999999,0,Low-Value Guests
548376,254,-80,0.0,0,Low-Value Guests
548377,254,-46,0.0,0,Low-Value Guests
548378,254,-75,0.0,0,Low-Value Guests
548379,254,11,0.0,0,Low-Value Guests
548380,254,-60,0.0,0,Low-Value Guests
548381,254,-690,0.0,0,Low-Value Guests
548382,254,-2,0.0,0,Low-Value Guests
548383,254,5,0.0,0,Low-Value Guests
548384,254,13,28.049999999999997,0,Low-Value Guests
548385,254,-19,0.0,0,Low-Value Guests
548386,254,5,9.25,0,Low-Value Guests
548390,254,2,7.5,0,Low-Value Guests
548393,254,1,4.95,0,Low-Value Guests
548394,254,-39,0.0,0,Low-Value Guests
548395,254,-9,0.0,0,Low-Value Guests
548396,254,-25,0.0,0,Low-Value Guests
548397,254,-30,0.0,0,Low-Value Guests
548398,254,-66,0.0,0,Low-Value Guests
548399,254,150,0.0,0,Low-Value Guests
548402,254,-5,0.0,0,Low-Value Guests
548502,253,418,1607.8,0,Low-Value Guests
548504,253,161,1062.1599999999999,0,Low-Value Guests
548505,253,122,922.3399999999999,0,Low-Value Guests
548514,253,158,1113.33,0,Low-Value Guests
548515,253,3,1.9500000000000002,0,Low-Value Guests
548516,253,653,2234.58,0,Low-Value Guests
548522,253,387,1705.13,0,Low-Value Guests
548535,253,25,0.0,0,Low-Value Guests
548536,253,-50,0.0,0,Low-Value Guests
548537,253,-28,0.0,0,Low-Value Guests
548538,253,3,0.0,0,Low-Value Guests
548539,253,2,0.0,0,Low-Value Guests
548540,253,-9,0.0,0,Low-Value Guests
548562,253,30,110.0,0,Low-Value Guests
548604,253,16,53.72,0,Low-Value Guests
548615,253,-7,0.0,0,Low-Value Guests
548620,253,-32,0.0,0,Low-Value Guests
548624,253,5,14.43,0,Low-Value Guests
548637,253,5,0.0,0,Low-Value Guests
548638,253,4,0.0,0,Low-Value Guests
548639,253,1,0.0,0,Low-Value Guests
548646,252,-140,0.0,0,Low-Value Guests
548653,252,4,10.4,0,Low-Value Guests
548662,252,-180,0.0,0,Low-Value Guests
548663,252,118,863.54,0,Low-Value Guests
548674,252,6,18.7,0,Low-Value Guests
548675,252,-2,0.0,0,Low-Value Guests
548676,252,-5,0.0,0,Low-Value Guests
548677,252,-30,0.0,0,Low-Value Guests
548678,252,-9,0.0,0,Low-Value Guests
548679,252,-3,0.0,0,Low-Value Guests
548680,252,-18,0.0,0,Low-Value Guests
548681,252,3,0.0,0,Low-Value Guests
548682,252,-2,0.0,0,Low-Value Guests
548683,252,47,0.0,0,Low-Value Guests
548684,252,-2,0.0,0,Low-Value Guests
548685,252,-2,0.0,0,Low-Value Guests
548692,252,2,9.9,0,Low-Value Guests
548693,252,-60,0.0,0,Low-Value Guests
548694,252,10,0.0,0,Low-Value Guests
548699,251,12,24.65,0,Low-Value Guests
548720,250,1,1.25,0,Low-Value Guests
548886,249,-6,0.0,0,Low-Value Guests
548887,249,-8,0.0,0,Low-Value Guests
548888,249,-14,0.0,0,Low-Value Guests
548889,249,-17,0.0,0,Low-Value Guests
548890,249,-19,0.0,0,Low-Value Guests
548893,249,398,1908.58,0,Low-Value Guests
548894,249,723,2295.0299999999997,2,Recent High-Spenders
548895,249,3,5.15,0,Low-Value Guests
548897,249,-70,0.0,0,Low-Value Guests
548901,249,18,26.46,0,Low-Value Guests
548945,249,5,14.15,0,Low-Value Guests
548977,249,13,13.85,0,Low-Value Guests
548980,249,-194,0.0,0,Low-Value Guests
548986,249,-177,0.0,0,Low-Value Guests
548989,248,-46,0.0,0,Low-Value Guests
548994,248,32,111.92,0,Low-Value Guests
548996,248,16,104.3,0,Low-Value Guests
548997,248,20,0.0,0,Low-Value Guests
548998,248,8,0.0,0,Low-Value Guests
548999,248,-26,0.0,0,Low-Value Guests
549000,248,-45,0.0,0,Low-Value Guests
549001,248,-5,0.0,0,Low-Value Guests
549002,248,17,0.0,0,Low-Value Guests
549003,248,14,0.0,0,Low-Value Guests
549004,248,-3,0.0,0,Low-Value Guests
549005,248,-5,0.0,0,Low-Value Guests
549006,248,-23,0.0,0,Low-Value Guests
549008,248,-31,0.0,0,Low-Value Guests
549009,248,-8,0.0,0,Low-Value Guests
549010,248,-62,0.0,0,Low-Value Guests
549011,248,-8,0.0,0,Low-Value Guests
549023,248,311,1138.84,0,Low-Value Guests
549028,248,-18,0.0,0,Low-Value Guests
549029,248,-17,0.0,0,Low-Value Guests
549030,248,-61,0.0,0,Low-Value Guests
549031,248,-19,0.0,0,Low-Value Guests
549032,248,-6,0.0,0,Low-Value Guests
549033,248,-5,0.0,0,Low-Value Guests
549034,248,2,0.0,0,Low-Value Guests
549035,248,-15,0.0,0,Low-Value Guests
549036,248,-54,0.0,0,Low-Value Guests
549037,248,-37,0.0,0,Low-Value Guests
549038,248,-70,0.0,0,Low-Value Guests
549040,248,6,2.34,0,Low-Value Guests
549042,248,-2,0.0,0,Low-Value Guests
549043,248,-24,0.0,0,Low-Value Guests
549100,248,759,3275.33,2,Recent High-Spenders
549103,248,167,0.0,0,Low-Value Guests
549122,247,5,23.45,0,Low-Value Guests
549132,247,-70,0.0,0,Low-Value Guests
549133,247,-52,0.0,0,Low-Value Guests
549134,247,-54,0.0,0,Low-Value Guests
549135,247,31,0.0,0,Low-Value Guests
549136,247,-3,0.0,0,Low-Value Guests
549137,247,-7,0.0,0,Low-Value Guests
549138,247,12,0.0,0,Low-Value Guests
549139,247,-91,0.0,0,Low-Value Guests
549140,247,7,0.0,0,Low-Value Guests
549141,247,70,0.0,0,Low-Value Guests
549142,247,-24,0.0,0,Low-Value Guests
549143,247,-17,0.0,0,Low-Value Guests
549144,247,-14,0.0,0,Low-Value Guests
549145,247,26,0.0,0,Low-Value Guests
549146,247,-10,0.0,0,Low-Value Guests
549147,247,-4,0.0,0,Low-Value Guests
549149,247,-43,0.0,0,Low-Value Guests
549150,247,-47,0.0,0,Low-Value Guests
549151,247,20,0.0,0,Low-Value Guests
549155,247,382,1341.26,0,Low-Value Guests
549156,247,-9,0.0,0,Low-Value Guests
549157,247,-9,0.0,0,Low-Value Guests
549158,247,-1,0.0,0,Low-Value Guests
549159,247,-25,0.0,0,Low-Value Guests
549160,247,-7,0.0,0,Low-Value Guests
549161,247,-31,0.0,0,Low-Value Guests
549163,247,8,0.0,0,Low-Value Guests
549164,247,-75,0.0,0,Low-Value Guests
549165,247,-63,0.0,0,Low-Value Guests
549166,247,3,0.0,0,Low-Value Guests
549167,247,-8,0.0,0,Low-Value Guests
549168,247,-10,0.0,0,Low-Value Guests
549170,247,-4,0.0,0,Low-Value Guests
549171,247,-2,0.0,0,Low-Value Guests
549172,247,-139,0.0,0,Low-Value Guests
549173,247,-2,0.0,0,Low-Value Guests
549174,247,-7,0.0,0,Low-Value Guests
549175,247,-30,0.0,0,Low-Value Guests
549176,247,-12,0.0,0,Low-Value Guests
549177,247,9,0.0,0,Low-Value Guests
549178,247,-19,0.0,0,Low-Value Guests
549179,247,-3,0.0,0,Low-Value Guests
549180,247,-30,0.0,0,Low-Value Guests
549181,247,7,12.59,0,Low-Value Guests
549236,247,20,39.4,0,Low-Value Guests
549244,247,-3,0.0,0,Low-Value Guests
549264,247,-21,0.0,0,Low-Value Guests
549266,247,-5,0.0,0,Low-Value Guests
549267,247,-5,0.0,0,Low-Value Guests
549268,247,-7,0.0,0,Low-Value Guests
549270,247,-27,0.0,0,Low-Value Guests
549271,247,-2,0.0,0,Low-Value Guests
549295,246,418,1633.1299999999999,0,Low-Value Guests
549314,246,1,1.95,0,Low-Value Guests
549326,246,-5,0.0,0,Low-Value Guests
549327,246,70,0.0,0,Low-Value Guests
549328,246,-110,0.0,0,Low-Value Guests
549329,246,-1,0.0,0,Low-Value Guests
549330,246,-28,0.0,0,Low-Value Guests
549331,246,-22,0.0,0,Low-Value Guests
549332,246,-2,0.0,0,Low-Value Guests
549340,246,-11,0.0,0,Low-Value Guests
549342,246,-53,0.0,0,Low-Value Guests
549343,246,-3,0.0,0,Low-Value Guests
549344,246,-14,0.0,0,Low-Value Guests
549345,246,12,0.0,0,Low-Value Guests
549346,246,-50,0.0,0,Low-Value Guests
549347,246,10,0.0,0,Low-Value Guests
549348,246,-60,0.0,0,Low-Value Guests
549349,246,-38,0.0,0,Low-Value Guests
549350,246,-13,0.0,0,Low-Value Guests
549351,246,-21,0.0,0,Low-Value Guests
549355,246,-5,0.0,0,Low-Value Guests
549371,246,-17,0.0,0,Low-Value Guests
549373,246,-2,0.0,0,Low-Value Guests
549374,246,-29,0.0,0,Low-Value Guests
549375,246,-6,0.0,0,Low-Value Guests
549376,246,11,0.0,0,Low-Value Guests
549426,246,-201,0.0,0,Low-Value Guests
549427,246,-12,0.0,0,Low-Value Guests
549453,245,24,0.0,0,Low-Value Guests
549454,245,46,0.0,0,Low-Value Guests
549455,245,-10,0.0,0,Low-Value Guests
549456,245,-6,0.0,0,Low-Value Guests
549457,245,-16,0.0,0,Low-Value Guests
549458,245,-6,0.0,0,Low-Value Guests
549459,245,7,0.0,0,Low-Value Guests
549460,245,-82,0.0,0,Low-Value Guests
549461,245,-16,0.0,0,Low-Value Guests
549462,245,-16,0.0,0,Low-Value Guests
549463,245,-17,0.0,0,Low-Value Guests
549464,245,-6,0.0,0,Low-Value Guests
549465,245,-5,0.0,0,Low-Value Guests
549466,245,-11,0.0,0,Low-Value Guests
549470,245,-8,0.0,0,Low-Value Guests
